77.0,93.0,37.0,51.0
83.0,93.0,36.0,50.0
89.0,93.0,36.0,50.0
95.0,94.0,35.0,49.0
101.0,94.0,35.0,49.0
107.0,95.0,34.0,48.0
113.0,95.0,34.0,48.0
119.0,95.0,34.0,48.0
125.0,96.0,33.0,47.0
131.0,96.0,33.0,47.0
137.0,97.0,32.0,46.0
143.0,97.0,32.0,46.0
150.0,98.0,32.0,46.0
156.0,98.0,31.0,46.0
162.0,99.0,31.0,46.0
168.0,100.0,31.0,46.0
175.0,101.0,31.0,47.0
179.0,100.0,31.0,47.0
184.0,100.0,31.0,47.0
189.0,99.0,31.0,47.0
194.0,99.0,31.0,47.0
199.0,98.0,31.0,47.0
204.0,98.0,31.0,48.0
203.0,96.0,31.0,48.0
203.0,95.0,31.0,49.0
198.0,94.0,32.0,49.0
194.0,93.0,33.0,49.0
190.0,92.0,34.0,49.0
186.0,92.0,35.0,49.0
176.0,92.0,35.0,50.0
167.0,93.0,35.0,51.0
157.0,93.0,35.0,52.0
148.0,94.0,35.0,53.0
138.0,94.0,35.0,54.0
129.0,95.0,35.0,55.0
124.0,95.0,35.0,54.0
119.0,96.0,35.0,53.0
114.0,96.0,35.0,52.0
109.0,97.0,35.0,51.0
104.0,98.0,36.0,50.0
107.0,98.0,36.0,49.0
110.0,99.0,36.0,48.0
113.0,99.0,36.0,47.0
116.0,100.0,37.0,47.0
124.0,100.0,36.0,47.0
133.0,100.0,36.0,48.0
142.0,100.0,36.0,48.0
151.0,100.0,35.0,49.0
160.0,100.0,35.0,49.0
169.0,100.0,35.0,50.0
178.0,100.0,34.0,50.0
187.0,100.0,34.0,51.0
196.0,100.0,34.0,52.0
201.0,101.0,34.0,52.0
206.0,102.0,34.0,52.0
201.0,101.0,34.0,52.0
197.0,101.0,35.0,53.0
193.0,101.0,36.0,54.0
181.0,100.0,36.0,53.0
169.0,100.0,36.0,53.0
158.0,100.0,37.0,53.0
144.0,101.0,36.0,52.0
130.0,102.0,35.0,51.0
121.0,103.0,34.0,50.0
113.0,104.0,34.0,50.0
105.0,106.0,33.0,49.0
97.0,107.0,33.0,49.0
89.0,109.0,33.0,49.0
87.0,108.0,33.0,50.0
85.0,108.0,34.0,51.0
83.0,108.0,35.0,52.0
81.0,107.0,36.0,53.0
79.0,107.0,37.0,54.0
77.0,107.0,38.0,56.0
81.0,107.0,37.0,55.0
85.0,107.0,36.0,55.0
90.0,107.0,36.0,54.0
94.0,107.0,35.0,54.0
99.0,108.0,35.0,54.0
110.0,103.0,34.0,54.0
122.0,98.0,34.0,54.0
137.0,95.0,34.0,54.0
153.0,93.0,34.0,54.0
165.0,96.0,34.0,54.0
177.0,99.0,34.0,54.0
189.0,102.0,34.0,54.0
201.0,105.0,35.0,54.0
202.0,106.0,35.0,54.0
203.0,107.0,36.0,54.0
204.0,108.0,36.0,54.0
205.0,109.0,37.0,55.0
202.0,109.0,36.0,54.0
199.0,109.0,36.0,53.0
196.0,110.0,36.0,52.0
190.0,112.0,35.0,52.0
184.0,115.0,35.0,52.0
173.0,116.0,35.0,52.0
163.0,117.0,35.0,52.0
147.0,112.0,35.0,52.0
132.0,107.0,35.0,52.0
117.0,103.0,35.0,52.0
102.0,107.0,35.0,52.0
87.0,111.0,35.0,52.0
72.0,115.0,35.0,53.0
64.0,114.0,35.0,53.0
56.0,114.0,35.0,54.0
49.0,114.0,36.0,54.0
41.0,113.0,36.0,55.0
33.0,113.0,36.0,55.0
26.0,113.0,37.0,56.0
18.0,107.0,37.0,56.0
11.0,102.0,37.0,57.0
4.0,97.0,38.0,58.0
4.0,103.0,37.0,57.0
4.0,109.0,36.0,56.0
4.0,115.0,36.0,56.0
11.0,120.0,36.0,56.0
18.0,126.0,37.0,56.0
25.0,131.0,37.0,56.0
32.0,137.0,38.0,56.0
36.0,136.0,38.0,55.0
41.0,135.0,38.0,55.0
45.0,134.0,38.0,55.0
50.0,133.0,38.0,55.0
54.0,132.0,38.0,54.0
59.0,131.0,38.0,54.0
63.0,130.0,38.0,54.0
68.0,129.0,38.0,54.0
73.0,129.0,38.0,54.0
81.0,123.0,37.0,53.0
89.0,118.0,37.0,53.0
95.0,111.0,36.0,53.0
101.0,104.0,35.0,53.0
108.0,97.0,35.0,53.0
105.0,95.0,35.0,53.0
100.0,97.0,35.0,53.0
95.0,99.0,35.0,53.0
91.0,101.0,35.0,53.0
86.0,103.0,35.0,53.0
82.0,106.0,36.0,53.0
78.0,103.0,36.0,53.0
75.0,100.0,36.0,53.0
72.0,98.0,37.0,54.0
73.0,98.0,37.0,54.0
75.0,98.0,38.0,54.0
76.0,98.0,38.0,54.0
78.0,98.0,39.0,55.0
85.0,98.0,39.0,54.0
92.0,98.0,39.0,54.0
99.0,98.0,39.0,53.0
106.0,98.0,39.0,53.0
113.0,98.0,39.0,52.0
120.0,98.0,39.0,52.0
128.0,98.0,40.0,52.0
129.0,98.0,40.0,51.0
131.0,99.0,40.0,51.0
133.0,100.0,40.0,51.0
129.0,100.0,40.0,51.0
125.0,100.0,40.0,51.0
121.0,101.0,41.0,51.0
119.0,102.0,40.0,50.0
118.0,103.0,39.0,50.0
120.0,102.0,38.0,49.0
123.0,101.0,37.0,49.0
125.0,101.0,37.0,49.0
128.0,100.0,36.0,49.0
131.0,100.0,36.0,49.0
138.0,99.0,35.0,49.0
145.0,98.0,35.0,49.0
152.0,98.0,34.0,49.0
159.0,97.0,34.0,49.0
167.0,97.0,34.0,49.0
